Default Dataset,,Dataset 1,,Dataset 2,
X,Y,X,Y,X,Y
104.96156350906747,0.013187202035235546,108.96354437787602,0.0059247949034413605,257.66333108391353,0.004146308261942885
112.06485131544437,0.015225748012559971,124.21083388488726,0.0067942772615072755,316.54301411622345,0.00505075232321775
126.03155178526936,0.017322816840908063,141.5916795150767,0.007847688579933287,388.87753008654363,0.006040320531436119
139.54617184825452,0.019871812129938923,161.4046301829025,0.008901099898359313,477.7414969287109,0.006902202519239231
156.9378835316008,0.02192661445476992,183.99001080925535,0.010138440177145436,586.9121258739017,0.008391875090750775
177.2324800450483,0.023882949760418243,209.73576804598872,0.011242013939306017,721.0297738679052,0.010764710686801307
198.287850721651,0.025722239364019225,239.0841339938006,0.012395750145201181,885.7951844663357,0.012541677254247222
223.9296641153195,0.02722293247241185,272.5392223754218,0.013733415311456443,1088.2118010392962,0.014552735225787802
250.53270032085456,0.02858358875871212,310.67568764276734,0.015188126179759044,1324.43550615194,0.017478877776971186
280.2962000502779,0.030134444310839316,351.67255335685275,0.016674188575395744,1567.3283928518586,0.02036112818988682
316.54301411622345,0.03135715387686951,403.7046761739914,0.0185490099099754,1872.1986154723104,0.022894901626252427
354.14859575460093,0.03304595614926678,460.1951483599243,0.019863683956185645,2336.1636221766257,0.026998594876821123
407.4989673267587,0.03415789031871648,514.8667267852193,0.021976776898504503,2644.257136464829,0.030183656708291047
473.2931658151431,0.0353868701902135,580.6707626221096,0.023314442064759758,3220.9976517704163,0.036273580054208464
549.7104011743369,0.03652806578517502,638.4658536930474,0.02496980270800065,4185.495890687006,0.03988337591053197
638.4658536930474,0.03708403286989986,694.5480053338908,0.02732743756352555,5141.940373260389,0.043548147778423155
741.5516342080492,0.03731812427399453,791.7362399338762,0.02883231087556272,6316.94582737372,0.045005898794830884
861.2814969130692,0.036776787902025605,911.9539890692138,0.03027587453414652,7760.456498773483,0.04464412117032093
1000.3427714336297,0.03598672941320609,1028.814403801192,0.03225589766044728,9098.163190193525,0.04252665801510096
1154.6332794758857,0.034762626445961044,1151.0384375897838,0.034383621315522056,9990.357923594285,0.04003943684659508
1299.886250091666,0.0337482303615508,1298.1502446970894,0.03572128648177731,10468.747155906305,0.036419000471903634
1400.900242244766,0.03225589766044728,1440.7724918574263,0.03752713445622192,11822.524808245023,0.03415789031871648
1567.3283928518586,0.030353905002178078,1642.3800609073585,0.03848022088717879,12741.251680019928,0.03199254483084077
1770.0092027443518,0.028104955441411415,1872.1986154723104,0.039299540801510144,13990.69922324492,0.028276343790837877
1961.8490229192935,0.025867153090363554,2134.175724125612,0.039433307318135664,15652.806293548296,0.023901760676818713
2236.3709301524327,0.02273130365634536,2432.8113394625298,0.039132332655728234,17676.96630438948,0.019845801973928413
2502.053715230934,0.020375758902642732,2773.2350933015846,0.03853038333091336,19410.425675208204,0.016124491796137737
2799.299843105282,0.017932429872404607,3161.2944078181345,0.03692518513140705,21716.40089757304,0.013089663950196104
3131.859065977725,0.015430577991142815,3536.8588955325995,0.03461771271961672,24296.327954644534,0.01025130567554823
3503.926609829052,0.013148186801219777,3957.0407665832636,0.03227679867867002,27644.34793619823,0.007623629664585546
3741.0553103736856,0.011860684078699085,4406.481477851033,0.02943217009855531,33394.3925623176,0.004795379882387207
3994.2317273471544,0.010963333696336189,4929.975257727927,0.02633045899430092,41025.47937957778,0.0026672762087992935
4468.749883196266,0.008832126538224294,5541.519893760437,0.02284625925657042,47760.9623069587,0.001430936645431119
4999.641203048065,0.007193486709561589,5337.992588132023,0.025320939814142657,57452.91078446238,0.001008064711291931
5593.602867148432,0.0058913532742849856,6199.857211193654,0.01970609027878619,70581.70626359503,0.0006987803107304652
6496.737959049782,0.004369759147669627,6936.405566723699,0.016726441120952597,86710.61554687456,0.0004859699433716891
7545.691946857046,0.003330978541999527,6681.647312164189,0.019000471903586544,2951.6082014040303,0.03324097938144336
8764.008540247618,0.002379982212864923,7724.242547802325,0.014333274534449048,207.87785131317736,0.0036533505154640183
10052.857728292407,0.0017362308516045838,8363.520568276717,0.012387389737912098,169.8779401405548,0.00284149484536092
11822.524808245023,0.0011510023413679044,9013.448668521352,0.011074805793524128,143.92005977796725,0.00239046391752587
13731.372698020887,0.0008144959479818165,9897.336027290738,0.008984703971250285,111.823296168544,0.0019394329896908202
15948.420428812122,0.0005950352566430617,11282.272141638661,0.006944764592711011,,
18523.429504670883,0.00046335884183980325,12861.00263010267,0.005155637432844584,,
,,14660.645176343318,0.0038514138957457117,,
,,16712.112046657963,0.002848165021054269,,
,,17926.76118237738,0.0019410608301874133,,
,,20150.50756433615,0.0016141689051837882,,
,,22970.171923648537,0.0012931292652825221,,
,,26184.392453508655,0.000875108900827759,,
,,29848.37947396855,0.0006911799404676622,,
,,34025.06889567516,0.0005574134238421347,,
,,38786.20326323244,0.00042364690721660714,,
